model,variable,CEDS9,em,harm_status
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Grassland Burning|Harmonized-DB,Grassland Burning,CH4,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Grassland Burning|Unharmonized,Grassland Burning,CH4,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Grassland Burning|Harmonized,Grassland Burning,CO,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Grassland Burning|Harmonized-DB,Grassland Burning,CO,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Grassland Burning|Unharmonized,Grassland Burning,CO,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Grassland Burning|Harmonized,Grassland Burning,CO2,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Grassland Burning|Unharmonized,Grassland Burning,CO2,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Grassland Burning|Harmonized,Grassland Burning,NH3,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Grassland Burning|Harmonized-DB,Grassland Burning,NH3,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Grassland Burning|Unharmonized,Grassland Burning,NH3,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Grassland Burning|Harmonized,Grassland Burning,NOx,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Grassland Burning|Harmonized-DB,Grassland Burning,NOx,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Grassland Burning|Unharmonized,Grassland Burning,NOx,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Grassland Burning|Harmonized,Grassland Burning,OC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Grassland Burning|Harmonized-DB,Grassland Burning,OC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Grassland Burning|Unharmonized,Grassland Burning,OC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Grassland Burning|Harmonized,Grassland Burning,Sulfur,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Grassland Burning|Harmonized-DB,Grassland Burning,Sulfur,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Grassland Burning|Unharmonized,Grassland Burning,Sulfur,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Grassland Burning|Harmonized,Grassland Burning,VOC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Grassland Burning|Harmonized-DB,Grassland Burning,VOC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Grassland Burning|Unharmonized,Grassland Burning,VOC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Industrial Sector|Harmonized,Industrial Sector,BC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Industrial Sector|Harmonized-DB,Industrial Sector,BC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|Industrial Sector|Unharmonized,Industrial Sector,BC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Industrial Sector|Harmonized,Industrial Sector,CH4,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Industrial Sector|Harmonized-DB,Industrial Sector,CH4,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|Industrial Sector|Unharmonized,Industrial Sector,CH4,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Industrial Sector|Harmonized,Industrial Sector,CO,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Industrial Sector|Harmonized-DB,Industrial Sector,CO,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO|Industrial Sector|Unharmonized,Industrial Sector,CO,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Industrial Sector|Harmonized,Industrial Sector,CO2,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Industrial Sector|Harmonized-DB,Industrial Sector,CO2,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CO2|Industrial Sector|Unharmonized,Industrial Sector,CO2,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Industrial Sector|Harmonized,Industrial Sector,NH3,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Industrial Sector|Harmonized-DB,Industrial Sector,NH3,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NH3|Industrial Sector|Unharmonized,Industrial Sector,NH3,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Industrial Sector|Harmonized,Industrial Sector,NOx,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Industrial Sector|Harmonized-DB,Industrial Sector,NOx,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|NOx|Industrial Sector|Unharmonized,Industrial Sector,NOx,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Industrial Sector|Harmonized,Industrial Sector,OC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Industrial Sector|Harmonized-DB,Industrial Sector,OC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|OC|Industrial Sector|Unharmonized,Industrial Sector,OC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Industrial Sector|Harmonized,Industrial Sector,Sulfur,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Industrial Sector|Harmonized-DB,Industrial Sector,Sulfur,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|Sulfur|Industrial Sector|Unharmonized,Industrial Sector,Sulfur,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Industrial Sector|Harmonized,Industrial Sector,VOC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Industrial Sector|Harmonized-DB,Industrial Sector,VOC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|VOC|Industrial Sector|Unharmonized,Industrial Sector,VOC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|International Shipping|Harmonized,International Shipping,BC,Harmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|International Shipping|Harmonized-DB,International Shipping,BC,Harmonized-DB
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|BC|International Shipping|Unharmonized,International Shipping,BC,Unharmonized
REMIND-MAGPIE,CEDS+|9+ Sectors|Emissions|CH4|International Shipping|Harmonized,International Shipping,CH4,Harmonized
